start	end	text
1762320	1765680	And I sat there and I was like, wow, that's, that was great.
1766400	1767600	You listen.
1767600	1772000	And so, because so often, you know, you just start talking.
1772720	1779760	And he's like, no, I became a lot more purposeful if I just listened first, said probably less.
1780720	1784960	But that impact was greater because I heard what was happening and I thought that was great.
1785840	1789920	I had Jack Rowe, who's a former CEO of Aetna in the book, he came over and he said,
1791200	1793280	sometimes you have to put yourself into neutral.
1793920	1797760	And he's like, and you have to give yourself space because you can't run at 100 miles an hour.
1798320	1803280	And if you don't give yourself a little bit of a break, no matter what position you're in,
1804240	1809680	you're going to find yourself upside down and you're not going to figure out how to turn back up.
1810640	1816720	And I appreciated those conversations with them because they're a little bit more old school in
1816720	1817360	their approach.
1818400	1821200	They think we're a little bit more in the middle now.
1821200	1824240	And then there's a younger generation, right, that's coming up with things about things completely
1824240	1829680	different. It's been such a privilege to be able to kind of talk to so many different people
1830400	1834400	who are in that continuum to kind of hear how they're managing it, right?
1835040	1837920	Even like how you think about things today and how you manage all that, right?
1837920	1841920	It just must be a lot coming at you today from many different angles when they're like,
1841920	1843040	Jay, what do you do?
1843040	1848800	Yeah, yeah. And I think for me, it is the old cliche, but it's so true.
1848800	1850640	Like you are only as good as your team.
1851360	1855040	And I do think being a leader means taking care of your team.
1855040	1856000	That's right.
1856000	1860480	In one sense, I feel like that's all a leader actually has to do is be the coach,
1860480	1865680	therapist, support system or provide and bring those things in for the team.
1865680	1867600	And you almost become a coach.
1867600	1868000	Right.
1868000	1869520	And yes, you're being strategic.
1869520	1870880	Yes, you're being a visionary.
1871440	1876000	But a lot of it is just loving people and supporting people.
1876000	1879760	I find at least, I find like that's what most of my time is taken up.
1879760	1880480	100%.
1880480	1883280	Doing because everyone has their emotions.
1883280	1885600	And as long as you have smart people that you're working with,
1886400	1890000	then those people are the people that investing in them as humans.
1890000	1890480	Yeah.
1890480	1892640	Is allowing them to do what you trust them to do.
1892640	1893200	That's right.
1893200	1897760	But the thing that's holding them back is usually something emotional or mental.
1897760	1900000	It's rarely professional that people have challenges.
1900000	1902880	And I find it's something they're going through in their personal life.
1903440	1905120	It's a mental block that they have.
1905120	1905920	Yeah.
1905920	1909280	And if that doesn't get healed and accessed in the workplace,
1910000	1911840	that's going to be the spanner in the works.
1911840	1915680	Like that's going to be the thing that bottlenecks the process,
1915680	1918640	creates inefficiency, creates a lack of trust.
1918640	1919120	That's right.
1919120	1920800	That's the kind of stuff that gets in the way.
1920800	1921200	Yeah.
1921200	1923920	And a lot of times too, when you talk to people,
1923920	1926640	they have no idea what's happening outside the workplace.
1926640	1927360	Mm-hmm.
1927360	1931760	You know, but so much that happens outside the workplace affects the workplace.
1932640	1937200	It's really important for companies too, to have mental health support tools for employees.
1937200	1940240	So when they need things, people to talk to, you know, applications,
1940240	1943360	whether they're calm or others, therapy, if they need it,
1944080	1948000	if they just make those available and known, that's another step in the process.
1948000	1948240	Yeah.
1948240	1950560	So that's why I always tell people, it's not just one thing.
1950560	1953120	It's kind of like a number of things you have to put together,
1953120	1955920	because people may take bits and pieces of each to make it their own.
1956720	1959440	But it kind of shows them when they need it, it's there.
1959440	1959760	Yeah.
1959760	1962480	And a lot of times people will go look for things on their own.
1962480	1965520	You know, they'll search and they'll see if you got tools and what companies.
1966400	1969200	And I do find that you sometimes will lose good people
1969200	1971520	because you're not supporting them in their journey.
1971520	1971920	Yeah.
1971920	1976720	And so the more you could be there for them and they know that,
1977360	1981760	they become some of your most loyal, most productive,
1981760	1985280	most culture bearing, you know, carrying the flag employees.
1985280	1985600	Yeah.
1985600	1986800	And you didn't have to tell them to do it.
1986800	1988400	They just kind of did it on their own.
1988400	1989120	Absolutely.
1989120	1991680	And I feel like those often are the best ones.
1992480	1995040	And I, and we have a lot of those.
1995840	1999120	And I'm very, and I just feel very privileged that we have so many folks like that,
1999840	2002480	that they just care deeply and it's personal for them.
2003760	2006400	My previous company I had started was a caregiving company.
2007360	2012080	And one thing I noticed in that company was that so many people that were caring for
2012080	2015040	others were suffering, right?
2015040	2020560	They, and then they had to go to work and people had no idea that they were doing like five jobs,
2021360	2023920	caregiver, they were worrying about their finances.
2023920	2026000	They were trying to figure out how they help people.
2026000	2029600	And then they had to go to work and, and they had a litany of things they had to go do.
2029600	2033120	And most people have no idea all these things are going on in their people's lives,
2033120	2033280	right?
2033280	2034800	Because sometimes we just don't ask the question.
2035360	2039280	And because we're so busy ourselves, or sometimes we don't want to ask the question
2039280	2041680	because we're so busy ourselves, we can't take anything else off.
2042320	2049040	But I just feel that if we are just more aware and we create space for employees and we listen to
2049040	2052800	what they have to say, flexible work schedules, what are they asking for?
2052800	2055200	That's why I constantly poll our employees as well.
2055840	2056800	What do you value?
2057600	2058880	And they'll tell us.
2059600	2063120	And then if we have stuff that they don't want, we put it away.
2063120	2065920	I sometimes like, oh, all my employees want this gym membership.
2066480	2067520	And then nobody uses it.
2069440	2071680	And, and they're like, just ask.
2071680	2072240	Yeah.
2072240	2077120	And I'm like, now I just ask, let's have our team go out and say, here are the top 10 things.
2077120	2077840	What do you want?
2077840	2078560	Yeah.
2078560	2081520	And then we'll take away a couple of things that they don't use, you know,
2081520	2084240	and we'll try to ask that almost every year.
2084240	2084800	Totally.
2084800	2086560	I, I, I couldn't agree more.
2086560	2088720	We, I love gift giving.
2088720	2090000	It's one of my love languages.
2090000	2093600	And you were so kind to bring me a gift today, which was very thoughtful
2093600	2097760	and very useful and both of which I will use.
2097760	2101120	And the reason I'm saying that is I love giving gifts too.
2101840	2105280	And so, you know, over the years, when it comes around the holidays,
2105280	2106960	I love getting gifts for my team.
2107760	2111440	And for a long time, I'd always be guessing like what everyone wanted.
2112160	2116000	And you assume that something's cool or trending or whatever it may be.
2116000	2119440	And then you start to realize what you just said, people didn't really want that.
2119440	2120080	Yeah.
2120080	2122320	And then at one point we were like, okay, well then we won't give gifts.
2122320	2124720	We'll just, you know, thank people and whatever else it was.
2124720	2127120	But then we were like, no, but people like, people like it.
2127120	2127280	Yeah.
2127280	2128480	Everyone enjoys it.
2128480	2129280	And so, it's so funny.
2129280	2131120	We've started polling over the last few years.
2131120	2132960	Like what kind of gift would everyone like?
2132960	2135600	And the number one answer this year was infrared masks.
2135600	2137040	Like, so what are you calling out here?
2137040	2137760	Yeah.
2137760	2139120	That was the number one request.
2139120	2139920	Yeah, that's great.
2139920	2140480	The red light.
2140480	2141040	Yeah.
2141040	2142160	So that was the number one request.
2142160	2143120	And we're like, oh, easy.
2143120	2144800	Now we know what everyone wants.
2145360	2149760	So we're going to get that because it's easier rather than us guessing.
2149760	2150160	Yeah.
2150160	2155280	And I agree that I do think people inside of organizations today want mental health tools.
2155280	2155440	That's right.
2155440	2157440	They want meditation practices.
2157440	2161680	They want mindfulness opportunities and tools and apps and everything else.
2161680	2164000	I do believe there is a big demand for that.
2164480	2166400	And I think it's only growing.
2166400	2166960	Oh, yeah.
2166960	2170400	Because people are feeling that if you don't have that,
2170960	2173200	you can't have that conversation in the workplace.
2173200	2173600	That's right.
2173600	2177280	I think this is the part that I want companies and leaders to understand.
2177280	2182000	If you're not providing tools to support people with their mental health,
2182800	2186240	they don't have a vehicle to talk about it at work.
2186240	2186720	That's right.
2186720	2189760	If it's available to everyone and they see it come out in the newsletter
2189760	2193200	and the team's available and everyone knows about it, they can say,
2193200	2194800	oh, yeah, did you see we're using Calm now?
2194800	2196720	And, you know, I've been doing this one.
2196720	2197840	And which one have you been doing?
2197840	2202320	And now it allows for connection and conversation and community,
2202320	2205280	as opposed to without it, someone may just never talk about the fact
2205280	2207200	that they've been struggling to sleep for seven days.
2207200	2207920	A hundred percent.
2207920	2208320	Right?
2208320	2208800	A hundred percent.
2208800	2212080	And I find that, too, amongst the younger generation,
2212720	2213920	they just expect these things.
2213920	2214400	Yeah.
2214400	2216160	You know, and they're asking for them.
2216160	2218240	And they'll give up other things along the way.
2218240	2218640	Yeah.
2218640	2220800	And so, and they're very vocal around it.
2221440	2223760	And we've seen it now in all industries.
2224320	2226000	You know, we've seen it happen in banking,
2226000	2228080	where people feel like, hey, you're not listening.
2228720	2233200	And it takes a moment where they have to go to the press almost.
2233200	2233600	Right?
2233600	2235200	It shouldn't have to ever get there.
2235200	2235760	Yeah.
2235760	2239920	If they were listening to those kids and listening to your employees,
2240480	2242560	then you've got a continuous feedback loop.
2242560	2243120	Yeah.
2243120	2244960	More companies, the baseline will be,
2244960	2246960	you have to have these services going forward.
2247680	2251680	And, and I think over time, then that will open up a dialogue.
2252400	2254400	And I also think with CEOs today, I'll tell you,
2254400	2256000	because it starts so much at the top.
2256960	2259120	If you start to have some of these conversations and say,
2259120	2260160	here's how I think about it.
2260160	2262000	Here's how you're being vulnerable.
2262000	2263920	That too opens up a different conversation.
2264640	2267440	And then that can just kind of percolate within the company.
2268080	2271760	And, and then I think the whole thing starts to move faster.
2272320	2272800	Right?
2272800	2275920	And then we can start to get more into a conversation of like,
2275920	2278880	okay, now how do we get you the right care at the right time
2278880	2280480	when you need it, however you need it?
2281280	2285360	Because so much of the conversation we're having right now is pretty basic in my mind.
2286000	2289120	And we just need to get farther along in the conversation.
2289120	2289440	Yeah.
2289440	2294320	I think a lot of people will question listening to us going,
2295120	2300240	well, how does mindfulness or meditation actually help burnout?
2300240	2301920	Well, how does it help stress?
2301920	2302800	So that's one thing.
2302800	2304320	And I mean, there's tons of science on that,
2304320	2307280	but I think there's still, so I want, I want you to answer that.
2307280	2311200	And the second thing is, well, how does this affect my productivity?
2311200	2311440	Right?
2311440	2315600	Like how does it actually get people to do the work that I need them to do?
2315600	2316000	Sure.
2316000	2320720	And isn't this just a distraction or slows them down?
2320720	2324640	Because I know a lot of organizations just feel like this sounds good in theory,
2324640	2325520	but how does it help?
2325520	2329600	So if we could talk about how mindfulness and meditation, specifically the programs
2329600	2333520	that exist on Calm, how do they make sense for stress and burnout?
2333520	2335920	Then how do they make sense for productivity and performance?
2335920	2336160	Yeah.
2336160	2337440	I mean, I think I have both of those.
2337440	2340640	I'll start with the second one first because it comes up a lot.
2341520	2346000	And what I often tell people is when, I'll just use Calm as an example,
2346640	2350080	more than half the people that use Calm today come to us for sleep.
2350080	2353760	And they're having moments where they just can't fall asleep.
2353760	2357520	Most of that comes, as we know, because they're sleeping next to their devices.
2357520	2359520	The devices are constantly beeping.
2359520	2360640	They don't shut them off.
2361200	2366000	I talk about like, it's hard, but you know, I keep my phone outside my bedroom.
2366000	2367520	Not everyone does that.
2367520	2368800	When I travel, I don't do that.
2369440	2374400	And sometimes it leads to, you know, not a good sleep.
2375120	2378560	And we know when you have a number of those days that start to compound,
2379280	2381200	it could lead to irritability.
2381200	2385440	It could lead to not being as productive the next day when you go to work,
2385440	2387680	because you're just tired, right?
2388240	2391920	You couple that at times with potentially bad eating habits
2392560	2396320	or some people drinking habits or other types of habits that aren't.
2396880	2400480	And that doesn't create, and it creates kind of like what I call negative behavior.
2401040	2404400	I had that when I was younger because I didn't understand some of these tools.
2405200	2408160	And I just wish I had some of these tools when I was younger,
2408160	2411680	because I didn't, I didn't do those things that created positive behavior change.
2411680	2417040	Um, when I was in banking, for example, I, and when I got stressed,
2417920	2420880	I turned to smoking and I was just a kid.
2420880	2423440	And I was like smoking in the stairwell of Solomon brothers.
2424080	2425760	I shouldn't have been smoking in the stairwell.
2425760	2426560	That's number one.
2427360	2433520	I talked about this with our employees saying, Hey, I didn't have apps like calm or tools
2433520	2434640	to help me in the moment.
2435120	2436080	I wish I did.
2436080	2441360	I probably would have turned to other things and understood that's positive behavior
2441360	2443200	that I could turn to not negative behavior.
2443840	2447120	And if I have enough of that, then it starts to kind of change the pendulum
2447120	2449840	because I then ended up on a very slippery slope.
2449840	2452560	You know, you're smoking, you start to drink a little bit more,
2452560	2454960	then I'm eating more at odd hours.
2454960	2455920	And then I try to go to sleep.
2456480	2459520	And you just know if you're trying to eat Chinese food at 1130,
2459520	2463280	and you want to go to bed at 12 or 1230, you're not going to sleep well.
2463280	2465840	Cause there's just a lot of stuff just sitting there, right?
2465840	2467120	Keeping you awake.
2467120	2470240	And so for me, it's been this continuous kind of learning.
2470960	2474960	And we talk about some of these things and, you know, I think in the workforce,
2474960	2476720	it's, it's a little, it's no different.
2477280	2479920	Cause then people got to shuttle the kids off to school in the morning
2479920	2480960	and you got to make breakfast.
2480960	2482000	You got to do all these things.
2482720	2485600	So you, you kind of need good sleep at night.
2486320	2488160	And it starts, I think a lot there.
2488160	2490640	And then during the day, we need breaks.
2491440	2497200	People think, uh, and it's in the book that you, that our brain has endless capacity.
2497760	2498800	It's just not true.
2498800	2500240	We don't have endless capacity.
2500800	2505040	You know, our brain, like everything else needs to recharge.
2505920	2510800	And if you can find ways to recharge, whether it's listening to you every day,
2511520	2514400	uh, congratulations on over 600 episodes.
2514400	2521440	We were talking about 50 million streams as our chief purpose officer, which I am so grateful for,
2521440	2527360	because there are times where those seven minutes from me, where I listen to you,
2527360	2531760	whether it's in the car, driving my kids, uh, to school takes 10 minutes.
2532320	2534240	Uh, some days it takes 30 with traffic.
2535200	2538720	There, there are moments that I just cherish or when I'm driving back alone.
2539360	2544880	And it's, it just helps me then as I start to recenter myself to be more productive during the
2544880	2550480	day or during the day, I take a short break and I know how to recharge now, whether it's going
2550480	2552080	outside, walking or others.
2552080	2558720	And it makes me so much more productive because what I find is if I work in a manner and I find
2558720	2565840	myself falling below 50%, 25% of my battery, and I just keep trying to power through my work gets,
2566400	2567200	it's not very good.
2568080	2569600	It's embarrassingly bad.
2569600	2573920	I would say at times and no amount of AI is going to make it better.
2573920	2574400	Yeah.
2574400	2575520	You know, it's just not.
2575520	2576000	Yeah.
2576000	2583360	And so I then have to kind of take a step back and be like, okay, you're trending in
2583360	2584160	the wrong direction.
2584960	2585440	Take a beat.
2586080	2590320	And I talk about this at a company and with many other companies that are out there today.
2590320	2593040	And I know so many employees I talk to resonate around this.
2593040	2593520	Yeah.
2593520	2593760	Right.
2593760	2595680	Cause they just feel it's an endless hamster wheel.
2595680	2596240	For sure.
2596240	2596560	Right.
2596560	2596880	Sure.
2596880	2597120	Yeah.
2597120	2603040	I was, as you were speaking, I was thinking about how if you have a still mind, you actually
2603040	2611040	make quicker, better decisions. And if you have a stressed mind, you actually make slower,
2611600	2612480	worse decisions.
2612480	2613200	Yeah.
2613200	2617920	And we think, oh, well, if I take time out to be still, I'll lose time. But actually,
2617920	2620240	if you take time out to be still, you'll gain time.
2620240	2620640	Yeah.
2620640	2626480	Because you'll make better decisions. They'll be more long-term. They won't be rushed and haphazard.
2626480	2631600	And they'll actually be, you'll be a better communicator. I know for a fact that if I'm stressed,
2631600	2633680	I don't communicate as clearly. Yeah.
2633680	2639200	I can, I can be a bit more like rushed and, you know, kind of like, let's hurry this up and short.
2639200	2639920	Short with people.
2639920	2646240	Yeah. Whereas if I'm rested and I'm still, then actually I'm able to formulate ideas.
2646240	2650560	I can be more tolerant. I can be more patient, which are all the skills you need. And so
2651120	2657200	taking out seven minutes a day doesn't make you slower. It actually makes you faster and better.
2657200	2661440	And, and something I pulled from your book, these, these stats were really fascinating for me to
2661440	2668080	read. So 61% of people feel expected to just get over stress.
2668080	2668480	Yeah.
2669600	2669920	Yeah.
2669920	2677520	That's unbelievable that 61% of people feel like they're expected to just get over stress.
2677520	2677840	Yeah.
2677840	2686240	It's just, why is that when I was younger and I didn't understand this, uh, when I was 14 years
2686240	2690160	old and I think it was much younger. I wrote about it in the book that it was 14. I actually think it
2690160	2696240	happened when I was younger. I just didn't, I just don't recollect those times when I got really
2696240	2701840	stressed or nervous. And most of the time they're around like tests or speaking stuff or in front of
2701840	2708080	the class, I just started to get a tightness in my chest. I would, I would get shortness of breath
2708080	2712880	at times. I would sweat in my hands and I didn't really understand what was happening. And I talked
2712880	2719040	to my mom, you know, and like a very traditional Korean mother, she'd be like, just power through it.
2719040	2722640	And I'm like, okay, I'm just going to power through it. Right. But she didn't know either
2722640	2726880	what was happening. And I don't blame her around that. She just didn't understand in the moment.
2726880	2732480	You know, the reality is when you think about your mental health, it's not about just do,
2732480	2737200	you know, and it's not about powering through the moment. It's for me, it's about powering up,
2738000	2741360	you know, and it's, and that's where the battery analogy keeps coming back in.
2741360	2746480	Yeah. And, and I didn't understand some of that. And then you cup, and then I didn't have the
2746480	2751200	vocabulary. It wasn't really until I started getting into healthcare that I started to understand,
2751200	2756560	oh, wow, this is what you were going through. You've been able to kind of manage it and through
2756880	2761280	some unhealthy behaviors at times. And now you are doing it through healthy behaviors,
2762480	2767040	but the vocabulary has changed. Right. And you have a better command of that vocabulary. So you
2767040	2769680	know how to talk about it now where I didn't know how to talk about it then.
2769680	2776000	Yeah. And so I do think so much of the, the population today is about powering through it.
2776000	2782160	And I do think a lot of the population, and I would say more in countries like Korea or Asia,
2783040	2787360	even though mental health is the most approachable it's ever been, like in the States,
2788800	2794560	it's not really approachable there, you know, and, and that does make me sad at times when I go back
2794560	2798480	home, my parents moved back to Korea, they live there. I want to talk about these things with them.
2798480	2803840	And it's just not, it's not easy for them to talk about. Right. I don't know how it was for you.
2803840	2805920	Yeah, I know. Did you talk about this when you were a kid with you?
2805920	2809280	It's so interesting what you were saying about your experiences of stress growing up,
2809280	2813760	mine were the same and they didn't know what it was either. So I would, it's the same things,
2813760	2820480	exams, anything high performance related. I'd feel like my chest got tighter. My heart felt like it
2820480	2826320	wasn't being the same. I'd get, you know, sweaty palms. And I remember going to the doctors and
2826320	2832240	they'd wire me up with these monitors, like old school monitors, big things. I'd have to wear it for
2832240	2837600	24 hours. And I'd go back and they'd be like, oh, he's fine. And I'd be like, but mom, I'm not fine.
2837600	2842240	Like there's something I'm feeling and there was no word for it. And so I can very much relate.
2842240	2845680	And again, my mom didn't know what it was either. And she was trying her best to help,
2845680	2851200	but we couldn't figure it out. And so I got on with it and I always have. And then I was thankful
2851200	2857120	enough to learn mindfulness and meditation many years later that have been my core practices.
2857120	2861920	And now it's not that I don't get nervous before I'm going on stage or a podcast.
2862560	2867520	I still do, but I know what to do. And so I have my breath work. I know what I have to lock into.
2867520	2873120	It's not that I don't experience those emotions anymore, but I agree even in a South Asian family,
2873120	2880480	like I don't think that vulnerability was normal from parents. It wasn't common for uncles and aunts
2880480	2885520	to be that way. And so it created a culture of always putting your best foot forward,
2886160	2889120	always somewhat being performative.
2889120	2889680	That's right.
2889680	2894240	And I think I never subscribed to that. So I started very early on rebelling and just
2894240	2894800	Good for you.
2894800	2895760	Being myself.
2895760	2898240	I wish I had done that.
2898240	2902960	Yeah. And I was just, I'm just, I started breaking the rules early on that and I'm grateful that I
2902960	2909120	did. But now I realize it wasn't that I was breaking the rules. I was just expressing my
2909120	2916160	discomfort with having to put up a face or a mask on when everything wasn't okay.
2916160	2916880	Yeah.
2916880	2923280	And, and I think that's hard for people to do today, where I read another stat that said 33%
2923280	2927520	of people feel too overwhelmed by daily stress to think ahead.
2927520	2928080	Yeah.
2928080	2933040	Like when you think about that, it's like, gosh, like, you know, that's what people are under.
2933040	2933520	Mm-hmm.
2933520	2934400	What are some of the-
2934400	2935520	I mean, you forget that, right?
2935520	2936240	You forget that.
2936240	2942320	You just forget it. I mean, you think about those numbers, that's whether it's two thirds or one third
2942880	2948320	of all people feeling this way. And you start to realize, well, that's heavy, you know? And
2948320	2952320	if you were in a room and three out of 10 or six out of 10 are feeling a certain way,
2952320	2957120	you start to realize there's more. This is why with corporations, I think it's so important
2957120	2958800	that they can take leadership positions.
2958800	2959840	Mm-hmm.
2959840	2962640	Again, I always go back to the top on some of these things, because
2963520	2969120	if we're not comfortable being vulnerable, and if we're not comfortable making sure that our
2969120	2974400	HR teams have the tools to talk about this with employees, that we don't support some of these
2974400	2980320	initiatives, we're kind of in a place where we're saying, oh, we don't believe some of those stats,
2980320	2981600	but the stats are there and growing.
2981600	2982240	Mm-hmm.
2982240	2987040	Right? And, and yes, there's, you know, there's life things that are happening,
2987040	2989520	but technology is moving so fast on the other side.
2989520	2990000	Mm-hmm.
2990000	2994560	Right? I mean, we are definitely in an era right now where kids have grown up with their
2994560	3000240	smartphones. They act differently than, you know, when I grew up or when you grew up. It's just
3000240	3004320	different. We, and they grew up with this technology. They're very comfortable with it,
3004320	3009280	the speed of it, which is coming. And so, and then there's the weight of what's happening just
3009280	3015360	in life around them. And so some of these things, even at the company level, which are interesting,
3015360	3019440	and you don't do this is like, and I found this a little bit with myself. I'll just tell you on a
3019440	3025600	personal front, we're taught to play it very safe. And I think that's an important thing,
3025600	3030640	too. I'll tell you a lot of people miss is that, you know, you don't want to say the wrong thing.
3030640	3034080	So you're not going to talk about your own vulnerability because that's not playing it
3034080	3038960	down the fairway. You kind of want to be boring. I'll be frank with you for a lot of leaders,
3038960	3043680	not all leaders, which we know there's a couple of them that are quite, but for most leaders,
3043680	3048880	when you go out there, they're media trained to be right down the fairway.
3048880	3055600	And what I love when I listen and watch your podcast, it's so authentic. It's so real.
3056160	3062800	It's so safe for all the people that listen. And then, and it just shows right with how many people
3062800	3067440	are tuning in every day. Right. And listening to you and doing what I did. It's like, I'll listen
3067440	3070640	to somebody and then I'll go back to that. I'll be like, Oh, I remembered that I'm going to go back
3070640	3076720	to that. And it's just because we just play it safe in a lot of places today. And you don't want
3076720	3081280	to say the wrong thing. Yeah. And I think it's okay. You know, like even if I was here with you
3081280	3087040	today and maybe something, and I didn't say the right thing today, I'm in a space where I feel so
3087040	3090960	safe with you right now. I just want to be myself and not everything's going to be perfect.
3090960	3095600	Absolutely. Right. And, and that's kind of part of life. And I've started to accept that.
3096160	3101360	And I've become much more vulnerable with my own employees to be like, Hey, this is okay.
3102080	3107200	And because of that, in the last couple of years, we're stronger, we're stronger as a company.
3107920	3112160	We just had a board meeting and they're like, wow, this is great. Everyone's like, yes,
3112160	3116960	we're doing much better. But I think because we're developing and, and really building on the right
3116960	3121760	culture, we're asking the right questions or, and we want to lead by example. Yeah. Right.
3121760	3127200	What was something you shared with them that you feel was challenging, uncomfortable that,
3127200	3132160	that led to that breakthrough? Yeah. I, um, in the last one that you were at,
3132160	3139360	I did talk about my smoking as a kid. I talked about me being overweight as a child, dealing with
3139360	3147840	that, that insecurity. Um, I've always had a struggle with food. I love French fries. I'm just gonna,
3148560	3154960	yeah, I guess I'm telling you, I love ice cream. And I think sometimes, and I have a really,
3154960	3162080	no matter what I try to do diet wise, I, if you put some fries in front of me, I'm gonna eat them.
3164240	3168560	Uh, if I, if you put some ice cream in front of me and someone, my kids are having, I'm gonna eat
3168560	3172640	some of that too. And my kids are like, dad, I thought you're like full. I was like, I was.
3173760	3178720	All right. So I struggle with that. I know when I'm a little bit stressed, I'm a little bit of a binge
3178720	3184960	eater as well. I try to obviously develop a lot of healthy habits also around how to be healthier.
3184960	3190960	And so I do, I do exercise a lot more, but some of those things are hard just to get rid of,
3190960	3195520	you know, it's, it's more like you're going to have to live with it and it's how you live with it.
3195520	3199040	That's like that comment about stress. You're never going to have a stress-free workplace,
3199040	3202880	but you got to figure out how you just have more healthy stress,
3202880	3207280	right. How you stress rather than distress. Yeah. What's, what's the most common thing
3207280	3211760	you hear from leaders that they're struggling with in their organizations when it comes to
3212480	3218240	stress and teams, mental health. I, I think a lot of leaders today struggle with,
3218880	3223520	as I spoke to you about vulnerability and how you gave the story about vulnerability,
3224080	3227120	that story plays over, over and over again. Wow.
3227120	3232240	You know, leaders struggle with how to be vulnerable. And I think it's, I think it's
3232880	3236320	generational on a personal, I think the new leaders that are going to rise,
3236320	3241600	the ones in their twenties are going to have no problem. All right. Because when you look at social
3241600	3246080	media today and a lot of the younger generation, they talk about their mental stress and they talk
3246080	3252800	about their mental health and they're very open about it. Now, again, they may overuse it or, you know,
3252800	3258240	but at least they're having a conversation around it. I think, you know, with other leaders today,
3258240	3262640	when I talk to them, they're just like, Hey, is it a sign of weakness? Like you brought up
3263520	3267440	in, is it going to be used against me? Yeah. Is someone going to write about it and say,
3267440	3274560	I'm too weak. Is the board going to think I'm weak as a leader? And I think that is the,
3274560	3280480	that's ultimately also a fail of corporate stewardship because they have to also look after
3280480	3285280	your mental health, you know? And so when I'm, you know, I'm fortunate to be on the board of calm
3285280	3293200	today, but if I wasn't CEO, I would be asking that CEO, Hey, how are you doing? How are you holding
3293200	3298400	up? Let's not talk about the numbers today. You know, I find it really effective when I meet with
3298400	3304400	CEOs and they ask for some coaching. We don't talk about any numbers. We don't talk about the metrics.
3305040	3311680	We just talk about life and we'll eventually go to that later. But I think when we start with more
3311680	3316880	of a trusting place where we can understand what's happening around you, then I can be much more
3316880	3322560	thoughtful in the type of advice I give. But this also means I have to create the space and the time
3322560	3327280	to do it. So not everyone has that. Right. And that's where I think it's just really important to
3327280	3332000	be really intentional. Yeah. Right. Be really purposeful in these conversations. Yeah. I think one of the
3332000	3338000	reasons why we struggle to recharge is because when your phone's running out of battery,
3338000	3342960	there's only one, well, we're also bad at this. There's only meant to be one type of charger.
3342960	3349600	Now I've seen people charge their phone with their Mac charger, destroying your phone. Right. You'd see
3349600	3355440	it being charged with the iPad charger. Like, but the point is there's one charger. Yeah. And I think
3355440	3366080	when it comes to life, sleep is a charger. Meditation and mindfulness. 100%. Food is a charger. Working
3366080	3372560	out is a charger. And people you love being around good relationships are a charger. And if everyone,
3372560	3379440	while you're listening to this, if you could figure out the most common times you feel at 1%, 5%,
3379440	3385520	10%, 20%, and figure out what's the charge you need for that. Well said. Right. Like, that's what
3385520	3390880	I think we need to do. Like, I'll give an example. I went to an event the other day and I had to fly
3390880	3396720	out of town and come back into town. I got back at like 4 a.m. And I worked out the next day and I felt
3396720	3403680	so weak because I hadn't slept well. Of course. And I had eaten well. And so at that point, I'm glad I still
3403680	3408560	worked out because I needed it. But I told my trainer I had to get a bit of an easier workout because I
3408560	3415360	didn't want to push myself when I felt weak. But it's like, it takes little adjustments of figuring
3415360	3420240	out what charge you need right now. Like now, I've had a busy week, had a busy weekend. This weekend,
3420240	3426240	I know recharge means I need no social plans. Like, that's what's going to recharge me. And so I wish
3426240	3430160	everyone could just write down while you're listening to this and while you're reading David's book,
3430160	3435520	Recharge, you write down what are those most common experiences you feel when you feel drained,
3435520	3440720	when you feel overwhelmed, when you feel burnt out and what is your charger so that you don't have
3440720	3443520	to think about it in the moment. Because when you're trying to figure it out in the moment,
3444080	3449280	that's when you get more overwhelmed. Like I know before I go on stage, I always practice breath work.
3449280	3454640	If I've had a couple of late nights, I know sleep is the only charge that's going to solve it.
3454640	3459360	Yeah. Speaking of that, because you've talked about certain rituals. Are there
3459360	3464240	certain things that you do every day, like religion every day that you just do?
3464240	3470160	Yeah, I kind of do what I call like, what I feel is like a good 80-20. So like, I know five days
3470160	3477360	out of the seven days a week, I'm working out. Five days out of seven, I'm meditating before 9am.
3478000	3483120	And then the other two will be meditating after 9am. And I like that balance that I have.
3483840	3486320	Gratitude is something I'm practicing every single day.
3486320	3491840	Yeah, it's such an important one. I think we do something with my team that I love. Every
3492400	3497440	Friday, we'll do a weekly win. And everyone's encouraged to share what they believe is their
3497440	3503520	win. And sometimes what's amazing about this activity is you feel it will always be like,
3503520	3509920	oh, we had so-and-so on the podcast, or we won so-and-so award or, and it isn't. It's actually
3509920	3515680	these little things that people are doing behind the scenes that are not like these grand wins
3515680	3520720	externally. And they believe that that's been their success. And I think it's a really great
3520720	3525200	way to actually get to know each other because you get to see what people value as success.
3525200	3525920	Yeah, 100%.
3525920	3530800	And you get to understand what people see as value in the work they do. Whereas we just assume that,
3530800	3534560	of course, if there's a big quarter, then everyone should be excited. And it's like,
3534560	3535440	well, maybe not.
3535440	3535840	Right.
3535840	3541360	Because that's not what they equate as their personal success and contribution. And so
3541360	3544640	doing the weekly wins on Friday is one of my favorite things to do with my team.
3544640	3545200	I love that.
3545200	3546800	It takes like 30 minutes to do.
3546800	3547360	Yeah.
